budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
nan,nan,100,69,"Drama,History",Sara Colangelo,2021,7,21,2,118,Worth,https://www.themoviedb.org/movie/649394
10.0,173.921954,100,79,"Comedy,Romance",Jean-Pierre Jeunet,2002,2,8,4,122,Amélie,https://www.themoviedb.org/movie/194
nan,nan,100,67,"Horror,Thriller",Chris Peckover,2017,10,6,4,89,Better Watch Out,https://www.themoviedb.org/movie/406994
2.5,6.854611,100,66,"Comedy,Drama,Romance",James Ponsoldt,2013,9,13,4,95,The Spectacular Now,https://www.themoviedb.org/movie/157386
85.0,197.309027,100,61,"Animation,Family,Adventure,Comedy",Ron J. Friedman,2006,9,29,4,86,Open Season,https://www.themoviedb.org/movie/7484
26.0,181.096164,100,66,"Action,Comedy,War",Jim Abrahams,1991,7,31,2,84,Hot Shots!,https://www.themoviedb.org/movie/9595
nan,32.677774,100,63,Comedy,Dale Launer,2019,5,10,4,94,The Hustle,https://www.themoviedb.org/movie/449562
nan,nan,100,71,"Drama,Comedy",Ladislao Vajda,1955,2,24,3,91,The Miracle of Marcelino,https://www.themoviedb.org/movie/62395
20.0,177.243185,100,68,"Comedy,Drama",Alexander Payne,2011,11,18,4,115,The Descendants,https://www.themoviedb.org/movie/65057
6e-06,4e-06,100,74,"Thriller,Drama,Crime,Horror",Mary Harron,2000,4,14,4,102,American Psycho,https://www.themoviedb.org/movie/1359
nan,nan,100,64,"Science Fiction,Horror,Thriller",Neasa Hardiman,2020,6,12,4,95,Sea Fever,https://www.themoviedb.org/movie/507441
78.0,179.265204,100,59,"Fantasy,Action,Thriller,Science Fiction",Stephen Norrington,2003,7,11,4,110,The League of Extraordinary Gentlemen,https://www.themoviedb.org/movie/8698
28.0,130.560428,100,63,Comedy,Jon Lucas,2017,11,10,4,104,A Bad Moms Christmas,https://www.themoviedb.org/movie/431530
50.0,174.804407,100,68,"Crime,Drama,Thriller",Clint Eastwood,2018,12,14,4,116,The Mule,https://www.themoviedb.org/movie/504172
nan,nan,100,73,"Comedy,Romance",Hayato Kawai,2019,9,6,4,113,Kaguya-sama: Love Is War,https://www.themoviedb.org/movie/617402
26.0,65.705772,100,73,"Drama,Romance,Comedy",Andy Tennant,1998,7,31,4,121,EverAfter,https://www.themoviedb.org/movie/9454
30.0,119.942387,100,63,"Action,Thriller",Byron Willinger,2018,1,19,4,104,The Commuter,https://www.themoviedb.org/movie/399035
5.904067,12.975143,100,67,"Action,Drama,Thriller",Roar Uthaug,2015,8,28,4,104,The Wave,https://www.themoviedb.org/movie/336882
70.0,277.448382,100,59,"Action,Adventure,Thriller",Rob Cohen,2002,8,9,4,124,xXx,https://www.themoviedb.org/movie/7451
nan,nan,100,58,"Action,Crime,Thriller",Tony Giglio,2017,8,1,1,89,S.W.A.T.: Under Siege,https://www.themoviedb.org/movie/461053
nan,nan,100,63,"Action,Thriller,Crime,Adventure",J.C. Chandor,2019,3,6,2,125,Triple Frontier,https://www.themoviedb.org/movie/399361
nan,nan,100,74,"Drama,History,Thriller",Francis Annan,2020,3,6,4,102,Escape from Pretoria,https://www.themoviedb.org/movie/502425
10.7784,34.15696,100,65,"Animation,Adventure,Comedy,Family",Enrique Gato,2018,2,3,5,85,"Tad, the Lost Explorer, and the Secret of King Midas",https://www.themoviedb.org/movie/452773
4.0,30.332385,100,75,"Horror,Comedy",Edgar Wright,2004,9,24,4,99,Shaun of the Dead,https://www.themoviedb.org/movie/747
45.0,198.087212,100,73,"Thriller,Drama",J. A. Bayona,2012,12,4,1,113,The Impossible,https://www.themoviedb.org/movie/80278
17.0,125.586134,100,59,"Horror,Thriller,Mystery",Jim Gillespie,1997,10,17,4,100,I Know What You Did Last Summer,https://www.themoviedb.org/movie/3597
23.0,36.642838,100,65,"Mystery,Thriller,Drama",John Dahl,2001,10,5,4,97,Joy Ride,https://www.themoviedb.org/movie/10866
20.0,nan,100,61,Action,Scott Mann,2018,9,14,4,105,Final Score,https://www.themoviedb.org/movie/421658
nan,nan,100,55,"Crime,Horror,Thriller",Srđan Spasojević,2011,5,13,4,104,A Serbian Film,https://www.themoviedb.org/movie/73861
nan,nan,100,59,"Romance,Comedy",Ryo Miyawaki,2018,10,5,4,99,Anoko no Toriko,https://www.themoviedb.org/movie/544810
nan,nan,100,75,"Action,Animation,Fantasy",Shigeyasu Yamauchi,1988,3,12,5,46,Saint Seiya: The Heated Battle of the Gods,https://www.themoviedb.org/movie/83091
nan,nan,93,59,Animation,Yuzo Sato,2009,12,19,5,25,Naruto: The Cross Roads,https://www.themoviedb.org/movie/699249
270.0,391.081192,100,57,"Science Fiction,Action,Adventure",Bryan Singer,2006,6,30,4,154,Superman Returns,https://www.themoviedb.org/movie/1452
50.0,152.0,100,72,"Drama,Horror",Tim Burton,2007,12,20,3,116,Sweeney Todd: The Demon Barber of Fleet Street,https://www.themoviedb.org/movie/13885
15.0,32.7047,100,59,Comedy,Brian Levant,1991,7,3,2,90,Problem Child 2,https://www.themoviedb.org/movie/28597
44.0,165.615285,100,76,"Crime,Drama,Thriller",Barry Levinson,1996,10,18,4,147,Sleepers,https://www.themoviedb.org/movie/819
135.0,282.570682,100,62,"Animation,Family",David Soren,2013,7,19,4,96,Turbo,https://www.themoviedb.org/movie/77950
nan,nan,100,65,"Action,Drama,Thriller",Michael Frost Beckner,2017,10,3,1,93,Sniper: Ultimate Kill,https://www.themoviedb.org/movie/464889
