budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
150.0,430.238384,100,79,"Action,Adventure,Fantasy",Destin Daniel Cretton,2021,9,3,4,132,Shang-Chi and the Legend of the Ten Rings,https://www.themoviedb.org/movie/566525
242.0,708.0,100,76,"Adventure,Action,Thriller",Cary Joji Fukunaga,2021,9,30,3,163,No Time to Die,https://www.themoviedb.org/movie/370172
110.0,424.0,100,68,"Science Fiction,Action,Adventure",Kelly Marcel,2021,10,1,4,97,Venom: Let There Be Carnage,https://www.themoviedb.org/movie/580489
nan,nan,100,82,"Science Fiction,Drama,Adventure",Miguel Sapochnik,2021,11,4,3,115,Finch,https://www.themoviedb.org/movie/522402
nan,nan,100,56,"Action,Thriller,Science Fiction",Edward Drake,2021,12,16,3,108,Apex,https://www.themoviedb.org/movie/763164
14.0,19.0,100,73,"Romance,Drama",Castille Landon,2021,9,30,3,99,After We Fell,https://www.themoviedb.org/movie/744275
200.0,282.417282,100,71,"Action,Adventure,Science Fiction",Chloé Zhao,2021,11,5,4,157,Eternals,https://www.themoviedb.org/movie/524434
0.25,nan,100,63,"War,History,Drama,Adventure",Izu Ojukwu,2021,11,4,3,120,Amina,https://www.themoviedb.org/movie/885110
165.0,352.769291,100,80,"Science Fiction,Adventure",Denis Villeneuve,2021,10,22,4,155,Dune,https://www.themoviedb.org/movie/438631
nan,nan,100,70,"Action,Crime,Thriller",Shay Hatten,2021,10,29,4,127,Army of Thieves,https://www.themoviedb.org/movie/796499
nan,nan,100,67,Western,Jeymes Samuel,2021,10,22,4,139,The Harder They Fall,https://www.themoviedb.org/movie/618162
110.0,331.096766,100,78,"Comedy,Action,Adventure,Science Fiction",Matt Lieberman,2021,9,17,4,115,Free Guy,https://www.themoviedb.org/movie/550988
200.0,nan,100,69,"Action,Comedy,Crime,Thriller",Rawson Marshall Thurber,2021,11,5,4,115,Red Notice,https://www.themoviedb.org/movie/512195
nan,22.0,100,81,"Animation,Comedy,Family",Norman Bridwell,2021,11,10,2,97,Clifford the Big Red Dog,https://www.themoviedb.org/movie/585245
nan,nan,86,48,Horror,Andres Beltran,2021,7,29,3,nan,Tarumama,https://www.themoviedb.org/movie/775943
nan,nan,93,82,"Animation,Action",Takayuki Hamana,2021,7,2,4,nan,The Seven Deadly Sins: Cursed by Light,https://www.themoviedb.org/movie/843241
nan,nan,100,43,Thriller,Doron Paz,2021,12,9,3,109,Plan A,https://www.themoviedb.org/movie/714968
116.0,855.013954,100,68,"Science Fiction,Action",Mike Zeck,2018,10,5,4,112,Venom,https://www.themoviedb.org/movie/335983
nan,nan,100,61,Horror,Julien Maury,2021,6,30,2,85,The Deep House,https://www.themoviedb.org/movie/672582
30.0,0.344931,100,65,"Action,Thriller,Crime",Navot Papushado,2021,7,14,2,114,Gunpowder Milkshake,https://www.themoviedb.org/movie/574060
88.0,36.964325,100,68,"Action,Adventure",Evan Spiliotopoulos,2021,7,23,4,121,Snake Eyes: G.I. Joe Origins,https://www.themoviedb.org/movie/568620
nan,nan,100,38,"Horror,Thriller,Comedy",Bartosz M. Kowalski,2021,10,27,2,97,Nobody Sleeps in the Woods Tonight 2,https://www.themoviedb.org/movie/871964
nan,nan,50,60,"Thriller,TV Movie",unknown,2021,7,8,3,86,Next-Door Nightmare,https://www.themoviedb.org/movie/854442
nan,105.0,100,73,"Animation,Comedy,Family",Dan Hernandez,2021,10,1,4,93,The Addams Family 2,https://www.themoviedb.org/movie/639721
nan,nan,100,71,"Crime,Action,Thriller",Jaume Balagueró,2021,3,26,4,118,The Vault,https://www.themoviedb.org/movie/630004
nan,nan,100,50,"Comedy,Family",Mick Davis,2021,11,7,6,105,Father Christmas Is Back,https://www.themoviedb.org/movie/762469
20.0,127.0,100,69,"Horror,Thriller",David Gordon Green,2021,10,15,4,105,Halloween Kills,https://www.themoviedb.org/movie/610253
nan,nan,100,63,"Action,Thriller",Kirk Caouette,2021,3,5,4,88,American Badger,https://www.themoviedb.org/movie/768449
nan,nan,100,nan,"Action,Adventure,Science Fiction",Stan Lee,2021,12,17,4,nan,Spider-Man: No Way Home,https://www.themoviedb.org/movie/634649
15.8,503.063688,93,84,"Animation,Action,Adventure,Fantasy",Haruo Sotozaki,2021,8,13,4,117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://www.themoviedb.org/movie/635302
200.0,49.010641,100,80,"Animation,Comedy,Family,Fantasy",Enrico Casarosa,2021,6,17,3,95,Luca,https://www.themoviedb.org/movie/508943
200.0,213.644366,100,77,"Adventure,Fantasy,Comedy,Action",Jaume Collet-Serra,2021,9,24,4,127,Jungle Cruise,https://www.themoviedb.org/movie/451048
5.0,nan,100,57,"Science Fiction,Thriller,Mystery",Andrew Baird,2021,9,3,4,98,Zone 414,https://www.themoviedb.org/movie/675319
82.0,112.0,100,77,"Animation,Comedy,Adventure,Family",Michael McCullers,2021,7,2,4,107,The Boss Baby: Family Business,https://www.themoviedb.org/movie/459151
8.4,27.658331,100,71,"Fantasy,Adventure,Comedy",Dmitriy Dyachenko,2021,1,1,4,120,The Last Warrior: Root of Evil,https://www.themoviedb.org/movie/589754
nan,nan,100,70,"Animation,Action,Adventure,Science Fiction",George Pérez,2020,8,4,1,87,Deathstroke: Knights & Dragons - The Movie,https://www.themoviedb.org/movie/703771
180.0,167.38121,100,78,"Action,Adventure,Fantasy,Comedy",James Gunn,2021,8,6,4,132,The Suicide Squad,https://www.themoviedb.org/movie/436969
nan,nan,93,20,"TV Movie,Thriller",Sam Fichtner,2021,7,10,5,85,Framed by My Husband,https://www.themoviedb.org/movie/849938
nan,8.115215,100,68,"Action,Crime,Thriller",Martin Campbell,2021,8,20,4,109,The Protégé,https://www.themoviedb.org/movie/645788
200.0,721.077945,100,74,"Action,Crime,Thriller",Justin Lin,2021,6,25,4,143,F9,https://www.themoviedb.org/movie/385128
nan,nan,100,56,"Comedy,Crime",Vinicius Videla,2021,10,22,4,67,Peçanha Contra o Animal,https://www.themoviedb.org/movie/879163
200.0,378.328978,100,76,"Action,Adventure,Science Fiction",Cate Shortland,2021,7,9,4,134,Black Widow,https://www.themoviedb.org/movie/497698
nan,nan,100,69,"Action,Comedy,Thriller,Horror",Tommy Wirkola,2021,7,30,4,113,The Trip,https://www.themoviedb.org/movie/760747
nan,nan,100,57,"Crime,Comedy,Science Fiction",Piotr Mularuk,2021,6,18,4,104,In for a Murder,https://www.themoviedb.org/movie/846167
nan,nan,100,65,Horror,Steven Lawson,2021,6,28,0,85,Ripper Untold,https://www.themoviedb.org/movie/820511
26.0,121.0,100,77,"Animation,Family,Adventure,Comedy",Cal Brunker,2021,8,20,4,86,PAW Patrol: The Movie,https://www.themoviedb.org/movie/675445
nan,nan,64,79,"Action,Comedy,Adventure",Alejandro Lozano,2021,10,1,4,nan,Matando Cabos 2: La Máscara del Máscara,https://www.themoviedb.org/movie/772436
nan,nan,100,62,"Horror,Fantasy,Mystery",Scott Jeffrey,2021,6,15,1,88,Dragon Fury,https://www.themoviedb.org/movie/839436
200.0,233.274812,100,83,"Comedy,Crime",Craig Gillespie,2021,5,28,4,134,Cruella,https://www.themoviedb.org/movie/337404
nan,nan,100,59,Horror,William Brent Bell,2021,4,30,4,107,Separation,https://www.themoviedb.org/movie/760195
215.0,757.930663,100,66,"Action,Adventure,Fantasy",James Vanderbilt,2012,6,29,4,136,The Amazing Spider-Man,https://www.themoviedb.org/movie/1930
nan,nan,93,73,Action,Qing Guo,2021,5,6,3,97,Crazy Fist,https://www.themoviedb.org/movie/859041
nan,nan,100,60,"Adventure,Animation,Comedy,Family,Fantasy,Music",Jared Bush,2021,11,24,2,99,Encanto,https://www.themoviedb.org/movie/568124
161.9,148.810604,100,73,"Animation,Comedy,Family,Science Fiction",Keenan Coogler,2021,7,16,4,115,Space Jam: A New Legacy,https://www.themoviedb.org/movie/379686
20.0,83.601013,100,73,"Action,Fantasy,Adventure",Greg Russo,2021,4,23,4,110,Mortal Kombat,https://www.themoviedb.org/movie/460465
nan,nan,100,80,"Animation,Science Fiction,Fantasy,Action",Ernie Altbacker,2021,10,9,5,78,Injustice,https://www.themoviedb.org/movie/831405
160.0,1131.927996,100,75,"Action,Adventure,Science Fiction",Jon Watts,2019,7,4,3,129,Spider-Man: Far From Home,https://www.themoviedb.org/movie/429617
200.0,nan,100,81,"Action,Science Fiction,Adventure",Chris McKay,2021,7,2,4,138,The Tomorrow War,https://www.themoviedb.org/movie/588228
nan,nan,100,64,"Thriller,Horror",Aaron Fjellman,2021,1,26,1,81,Caged,https://www.themoviedb.org/movie/777620
20.0,nan,100,44,Science Fiction,Edward Drake,2021,3,12,4,88,Cosmic Sin,https://www.themoviedb.org/movie/681887
nan,nan,100,49,"Horror,Thriller",Neill Blomkamp,2021,8,20,4,104,Demonic,https://www.themoviedb.org/movie/774021
nan,nan,100,73,Animation,Phil Weinstein,2021,10,8,4,46,Mickey's Tale of Two Witches,https://www.themoviedb.org/movie/864388
14.47974,nan,100,77,Thriller,Cédric Jimenez,2021,8,18,2,105,The Stronghold,https://www.themoviedb.org/movie/637534
70.0,657.0,100,84,"Action,Adventure,Fantasy,Science Fiction",Zack Snyder,2021,3,18,3,242,Zack Snyder's Justice League,https://www.themoviedb.org/movie/791373
nan,nan,100,66,"Crime,Drama,Thriller",Türkan Derya,2021,10,8,4,104,Grudge,https://www.themoviedb.org/movie/874948
175.0,880.166924,100,74,"Action,Adventure,Science Fiction,Drama",Jon Watts,2017,7,7,4,133,Spider-Man: Homecoming,https://www.themoviedb.org/movie/315635
nan,nan,100,68,"Science Fiction,Action,Thriller",Antoine Fuqua,2021,9,9,3,106,Infinite,https://www.themoviedb.org/movie/581726
40.0,103.966489,100,78,"Action,Crime,Thriller",Guy Ritchie,2021,5,7,4,119,Wrath of Man,https://www.themoviedb.org/movie/637649
nan,nan,100,57,"Family,Comedy",Mikey Day,2021,11,12,4,93,Home Sweet Home Alone,https://www.themoviedb.org/movie/654974
nan,nan,71,80,"Animation,Comedy,Family,Adventure",Thomas Astruc,2021,5,15,5,52,Miraculous World: Shanghai – The Legend of Ladydragon,https://www.themoviedb.org/movie/726684
nan,11.620603,100,68,"Crime,Drama",David Chase,2021,10,1,4,120,The Many Saints of Newark,https://www.themoviedb.org/movie/524369
nan,nan,100,62,"Thriller,Drama,Horror",Matt Angel,2021,10,27,2,88,Hypnotic,https://www.themoviedb.org/movie/864873
nan,nan,93,20,"Animation,TV Movie,Action,Comedy,Fantasy",Jeremy Adams,2021,9,9,3,45,LEGO Monkie Kid: A Hero Is Born,https://www.themoviedb.org/movie/852663
nan,nan,100,75,"Animation,Comedy,Music,Family",Mark Baldo,2021,6,24,3,90,Rock Dog 2: Rock Around the Park,https://www.themoviedb.org/movie/812204
10.0,45.0,100,76,"Thriller,Horror",Rodo Sayagues,2021,9,17,4,98,Don't Breathe 2,https://www.themoviedb.org/movie/482373
18.0,89.5,100,67,"Thriller,Horror",M. Night Shyamalan,2021,7,23,4,108,Old,https://www.themoviedb.org/movie/631843
nan,nan,100,80,"Animation,Action,Drama,Science Fiction",Shuko Murase,2021,6,11,4,96,Mobile Suit Gundam Hathaway,https://www.themoviedb.org/movie/685274
38.5044,3.31,93,67,"Action,Adventure,Fantasy",Roy Chow Hin-Yeung,2021,4,29,3,118,Dynasty Warriors,https://www.themoviedb.org/movie/525660
139.0,821.708551,100,72,"Fantasy,Action",Sam Raimi,2002,5,24,4,121,Spider-Man,https://www.themoviedb.org/movie/557
nan,nan,100,72,"Animation,Adventure",Tetsuo Yajima,2020,12,25,4,98,Pokémon the Movie: Secrets of the Jungle,https://www.themoviedb.org/movie/662708
nan,nan,100,71,"Action,Drama,Crime",Shawn Welling,2021,1,22,4,93,Narco Sub,https://www.themoviedb.org/movie/706972
200.0,467.863133,100,79,"Action,Adventure,Fantasy",Adam Wingard,2021,3,24,2,113,Godzilla vs. Kong,https://www.themoviedb.org/movie/399566
237.0,2847.246203,100,75,"Action,Adventure,Fantasy,Science Fiction",James Cameron,2010,8,27,4,162,Avatar,https://www.themoviedb.org/movie/19995
nan,nan,100,72,"Adventure,Animation,Family,Fantasy",Richard Claus,2021,2,9,1,84,Ainbo: Spirit of the Amazon,https://www.themoviedb.org/movie/588921
300.0,2046.239637,100,83,"Adventure,Action,Science Fiction",Joe Russo,2018,4,27,4,149,Avengers: Infinity War,https://www.themoviedb.org/movie/299536
258.0,890.871626,100,63,"Fantasy,Action,Adventure",Sam Raimi,2007,5,3,3,139,Spider-Man 3,https://www.themoviedb.org/movie/559
nan,nan,100,73,"Animation,Family",Alex Kamb,2021,10,8,4,47,LOL Surprise: The Movie,https://www.themoviedb.org/movie/882206
nan,nan,100,56,Comedy,Carlos Therón,2021,6,24,3,90,Undercover Wedding Crashers,https://www.themoviedb.org/movie/613098
nan,nan,50,30,Animation,unknown,2020,10,31,5,nan,LEGO Hidden Side: Night of the Harbinger,https://www.themoviedb.org/movie/891657
nan,nan,100,60,Drama,Léa Mysius,2017,6,21,2,106,Ava,https://www.themoviedb.org/movie/453354
125.0,976.47555,100,79,"Adventure,Fantasy",Chris Columbus,2002,4,12,4,152,Harry Potter and the Philosopher's Stone,https://www.themoviedb.org/movie/671
nan,nan,71,83,"Animation,Family,Comedy,Adventure,TV Movie",Thomas Astruc,2020,11,21,5,55,"Miraculous World: New York, United HeroeZ",https://www.themoviedb.org/movie/755812
nan,29.90085,100,85,"Animation,Action,Fantasy,Adventure",Kohei Horikoshi,2020,2,26,2,104,My Hero Academia: Heroes Rising,https://www.themoviedb.org/movie/592350
nan,nan,100,69,Action,Brian Andrew Mendoza,2021,8,18,2,110,Sweet Girl,https://www.themoviedb.org/movie/619297
nan,42.0,100,73,"Romance,Drama",Roger Kumble,2020,9,2,2,105,After We Collided,https://www.themoviedb.org/movie/613504
nan,nan,100,67,Action,Hicham Hajji,2021,1,8,4,100,Redemption Day,https://www.themoviedb.org/movie/767304
39.0,199.166992,100,78,"Horror,Mystery,Thriller",David Leslie Johnson-McGoldrick,2021,6,4,4,111,The Conjuring: The Devil Made Me Do It,https://www.themoviedb.org/movie/423108
175.0,800.526015,100,82,"Family,Animation,Fantasy,Music,Comedy,Adventure",Lee Unkrich,2017,11,24,4,105,Coco,https://www.themoviedb.org/movie/354912
21.7,nan,100,67,"Horror,Thriller,Action",Adam Randall,2021,10,20,2,107,Night Teeth,https://www.themoviedb.org/movie/669671
65.0,168.285,100,76,"Animation,Family,Adventure,Fantasy,Comedy",Kirk DeMicco,2020,11,25,2,95,The Croods: A New Age,https://www.themoviedb.org/movie/529203
nan,nan,100,56,"Western,Action",Michael Feifer,2021,9,10,4,89,Catch the Bullet,https://www.themoviedb.org/movie/859860
200.0,708.962323,100,64,"Action,Adventure,Fantasy",Alex Kurtzman,2014,5,2,4,142,The Amazing Spider-Man 2,https://www.themoviedb.org/movie/102382
nan,nan,93,75,"Animation,Comedy,Fantasy",Derek Drymon,2021,4,9,4,6,Monster Pets: A Hotel Transylvania Short,https://www.themoviedb.org/movie/813258
nan,nan,100,64,"Action,Thriller",Jon Keeyes,2021,6,11,4,94,Rogue Hostage,https://www.themoviedb.org/movie/825997
nan,nan,100,60,"Drama,Action,Thriller",Magnus Martens,2021,8,11,2,120,SAS: Red Notice,https://www.themoviedb.org/movie/595743
100.0,130.0,100,81,"Family,Fantasy,Animation,Action,Adventure",Carlos López Estrada,2021,3,5,4,107,Raya and the Last Dragon,https://www.themoviedb.org/movie/527774
18.0,76.98163,100,74,"Horror,Action,Thriller",James DeMonaco,2021,7,2,4,103,The Forever Purge,https://www.themoviedb.org/movie/602223
100.0,876.688482,100,77,"Adventure,Fantasy",Chris Columbus,2003,4,25,4,161,Harry Potter and the Chamber of Secrets,https://www.themoviedb.org/movie/672
nan,0.78,100,64,"Action,Adventure,Crime,Horror",Zack Snyder,2021,5,14,4,148,Army of the Dead,https://www.themoviedb.org/movie/503736
18.0,nan,100,61,"Science Fiction,Adventure,Mystery,Action,Thriller,Fantasy,Comedy",Douglas Attal,2020,11,19,3,101,How I Became a Superhero,https://www.themoviedb.org/movie/641501
nan,nan,100,50,"Action,Science Fiction,Thriller",Hank Braxtan,2021,8,26,3,83,Jurassic Hunt,https://www.themoviedb.org/movie/848278
nan,nan,100,58,Science Fiction,Luke Armstrong,2020,8,31,0,89,Solitary,https://www.themoviedb.org/movie/725273
10.0,30.763855,100,69,Horror,Evan Spiliotopoulos,2021,4,2,4,99,The Unholy,https://www.themoviedb.org/movie/632357
nan,nan,100,63,Comedy,Caroline Vigneaux,2021,11,11,3,nan,Flashback,https://www.themoviedb.org/movie/809065
nan,nan,93,63,Comedy,Julian Gaviria,2021,6,15,1,89,Lokillo,https://www.themoviedb.org/movie/840756
50.0,155.446362,100,61,"Action,Mystery,Science Fiction,Thriller",Ryne Douglas Pearson,2009,3,20,4,121,Knowing,https://www.themoviedb.org/movie/13811
nan,nan,100,81,"Animation,Family,Fantasy,Comedy,Music,Adventure",Mark Fattibene,2021,9,23,3,91,My Little Pony: A New Generation,https://www.themoviedb.org/movie/597316
29.0,nan,93,73,"Animation,Action,Fantasy",Hajime Kamegaki,2007,8,4,5,94,Naruto Shippuden the Movie,https://www.themoviedb.org/movie/20982
nan,nan,100,63,"Crime,Drama",Graziano Diana,2021,10,18,0,95,Yara,https://www.themoviedb.org/movie/747688
nan,nan,93,79,"Action,Adventure,Drama",Keishi Ōtomo,2021,6,4,4,138,Rurouni Kenshin: The Beginning,https://www.themoviedb.org/movie/672322
nan,nan,100,76,"Animation,Comedy,Family",David Silverman,2021,7,7,2,6,"The Simpsons: The Good, the Bart, and the Loki",https://www.themoviedb.org/movie/846214
nan,nan,100,68,Horror,Amelia Moses,2021,4,23,4,82,Bloodthirsty,https://www.themoviedb.org/movie/741636
nan,nan,100,81,"Animation,Comedy",Rodolfo Riva Palacio Alatriste,2021,8,12,3,nan,Eggs Run,https://www.themoviedb.org/movie/573164
nan,nan,100,51,"Horror,Thriller,Adventure,Mystery",Andrew Traucki,2020,8,7,4,98,Black Water: Abyss,https://www.themoviedb.org/movie/522444
nan,nan,100,83,"Animation,Comedy,Mystery,Family,Fantasy",Ken Spears,2021,9,14,1,72,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,https://www.themoviedb.org/movie/843906
60.0,25.814306,100,69,"Action,Fantasy,Adventure",Paul W. S. Anderson,2020,12,18,4,104,Monster Hunter,https://www.themoviedb.org/movie/458576
150.0,895.921036,100,78,"Adventure,Fantasy,Family",Mike Newell,2005,11,18,4,157,Harry Potter and the Goblet of Fire,https://www.themoviedb.org/movie/674
nan,2.987741,100,57,"Action,Crime,Drama,Thriller",Tate Taylor,2020,9,25,4,96,Ava,https://www.themoviedb.org/movie/539885
1.0,16.5,100,79,"Action,Romance,Animation",Tsuneo Kobayashi,2014,12,6,5,114,The Last: Naruto the Movie,https://www.themoviedb.org/movie/317442
200.0,165.160005,100,66,"Action,Adventure,Fantasy",Patty Jenkins,2020,12,25,4,151,Wonder Woman 1984,https://www.themoviedb.org/movie/464052
nan,nan,100,78,"Drama,Crime",Alexandre Moratto,2021,10,22,4,93,7 Prisoners,https://www.themoviedb.org/movie/785538
5.0,4.493306,100,69,"Action,Adventure",Oleg Trofim,2021,4,1,3,136,Major Grom: Plague Doctor,https://www.themoviedb.org/movie/529106
14.0,69.497587,100,72,"Romance,Drama",Jenny Gage,2019,4,12,4,106,After,https://www.themoviedb.org/movie/537915
nan,25.86,100,82,"Animation,Family,Comedy,Fantasy",Chris Appelhans,2021,1,15,4,99,Wish Dragon,https://www.themoviedb.org/movie/550205
nan,nan,100,68,"Action,Thriller",Cedric Nicolas-Troyan,2021,9,10,4,106,Kate,https://www.themoviedb.org/movie/597891
0.045223,nan,100,78,"Animation,Comedy,Family,Fantasy",McKenna Jean Harris,2021,11,12,4,7,Ciao Alberto,https://www.themoviedb.org/movie/876716
130.0,789.804554,100,80,"Adventure,Fantasy",Alfonso Cuarón,2004,6,4,4,141,Harry Potter and the Prisoner of Azkaban,https://www.themoviedb.org/movie/673
nan,nan,93,74,"Horror,Action",Jared Cohn,2021,8,13,4,87,Swim,https://www.themoviedb.org/movie/861057
23.0,22.039969,100,71,"Action,Thriller,Crime",Robert Lorenz,2021,1,15,4,108,The Marksman,https://www.themoviedb.org/movie/634528
356.0,2797.800564,100,83,"Adventure,Science Fiction,Action",Anthony Russo,2019,4,26,4,181,Avengers: Endgame,https://www.themoviedb.org/movie/299534
90.0,375.540831,100,84,"Action,Adventure,Animation,Science Fiction,Comedy",Rodney Rothman,2018,12,14,4,117,Spider-Man: Into the Spider-Verse,https://www.themoviedb.org/movie/324857
nan,nan,100,68,"Action,Comedy",David Charhon,2021,7,30,4,110,The Last Mercenary,https://www.themoviedb.org/movie/729720
125.0,1341.511219,100,81,"Fantasy,Adventure",David Yates,2011,7,15,4,130,Harry Potter and the Deathly Hallows: Part 2,https://www.themoviedb.org/movie/12445
nan,40.2,100,77,"Animation,Action,Comedy",Masashi Kishimoto,2015,8,7,4,95,Boruto: Naruto the Movie,https://www.themoviedb.org/movie/347201
50.0,132.0,100,71,"Comedy,Family,Animation",Joseph Barbera,2021,2,26,4,101,Tom & Jerry,https://www.themoviedb.org/movie/587807
17.0,136.621271,100,64,Comedy,Luke Greenfield,2014,8,13,2,104,Let's Be Cops,https://www.themoviedb.org/movie/193893
250.0,954.305868,100,78,"Adventure,Fantasy",David Yates,2010,11,19,4,146,Harry Potter and the Deathly Hallows: Part 1,https://www.themoviedb.org/movie/12444
150.0,136.384442,100,82,"Animation,Comedy,Fantasy,Family",Pete Docter,2020,12,25,4,101,Soul,https://www.themoviedb.org/movie/508442
61.0,297.372261,100,77,"Science Fiction,Thriller,Horror",John Krasinski,2021,5,28,4,97,A Quiet Place Part II,https://www.themoviedb.org/movie/520763
nan,nan,100,68,Animation,Jack Kirby,2014,9,16,1,118,Marvel Knights: Eternals,https://www.themoviedb.org/movie/375211
6.5,0.250811,100,62,"Comedy,Horror",Josh Ruben,2021,7,1,3,97,Werewolves Within,https://www.themoviedb.org/movie/800497
250.0,933.959197,100,77,"Adventure,Fantasy",David Yates,2009,7,8,2,153,Harry Potter and the Half-Blood Prince,https://www.themoviedb.org/movie/767
12.0,31.478826,100,80,"Animation,Action,Adventure,Fantasy",Kohei Horikoshi,2018,9,25,1,96,My Hero Academia: Two Heroes,https://www.themoviedb.org/movie/505262
62.0,1.071255,100,71,Drama,Adrian Lyne,1997,9,27,5,137,Lolita,https://www.themoviedb.org/movie/9769
nan,nan,100,68,"Action,Comedy",Tanya Wexler,2021,7,15,3,91,Jolt,https://www.themoviedb.org/movie/617502
220.0,1518.815515,100,77,"Science Fiction,Action,Adventure",Joss Whedon,2012,4,27,4,143,The Avengers,https://www.themoviedb.org/movie/24428
nan,nan,100,70,"TV Movie,Animation,Comedy,Family,Drama",Salvador Simó,2021,8,13,4,22,Descendants: The Royal Wedding,https://www.themoviedb.org/movie/805411
150.0,938.212738,100,77,"Adventure,Fantasy,Mystery",David Yates,2007,7,11,2,138,Harry Potter and the Order of the Phoenix,https://www.themoviedb.org/movie/675
nan,nan,64,64,"Animation,Drama,Romance",Masahiro Takata,2020,12,11,4,53,"Yes, No, or Maybe Half?",https://www.themoviedb.org/movie/719088
nan,46.0,100,74,"Animation,Science Fiction,Family,Comedy",Sarah Smith,2021,10,22,4,106,Ron's Gone Wrong,https://www.themoviedb.org/movie/482321
nan,nan,100,56,Action,Renny Harlin,2021,6,11,4,94,The Misfits,https://www.themoviedb.org/movie/581644
40.0,24.640084,100,70,"Horror,Mystery,Thriller",James Wan,2021,9,10,4,111,Malignant,https://www.themoviedb.org/movie/619778
nan,nan,100,nan,"Family,Animation,Fantasy,Comedy,Adventure",Genndy Tartakovsky,2022,1,14,4,nan,Hotel Transylvania: Transformania,https://www.themoviedb.org/movie/585083
nan,nan,100,61,"Animation,Action,Fantasy",Kyohei Ishiguro,2021,10,12,1,80,Bright: Samurai Soul,https://www.themoviedb.org/movie/839100
30.0,17.635215,100,78,"Animation,Adventure,Family,Western",Elaine Bogan,2021,6,4,4,88,Spirit Untamed,https://www.themoviedb.org/movie/637693
nan,nan,100,75,"Science Fiction,Action",Lee Yong-ju,2021,4,12,0,114,Seobok,https://www.themoviedb.org/movie/586047
nan,nan,100,77,"Animation,Family,Comedy",Kirk DeMicco,2021,8,6,4,99,Vivo,https://www.themoviedb.org/movie/449406
nan,nan,100,81,"Animation,Action,Fantasy",Ethan Spaulding,2021,8,31,1,80,Mortal Kombat Legends: Battle of the Realms,https://www.themoviedb.org/movie/841755
nan,nan,86,40,"Animation,Fantasy,Family",Jacinth Tan Yi Ting,2021,10,15,4,24,Sharkdog’s Fintastic Halloween,https://www.themoviedb.org/movie/878962
60.0,4.7,100,77,"Family,Animation,Fantasy,Adventure,Comedy",Tim Hill,2020,8,14,4,95,The SpongeBob Movie: Sponge on the Run,https://www.themoviedb.org/movie/400160
4.5e-05,nan,100,65,"Family,Fantasy,Adventure,Comedy,Horror",Robert Zemeckis,2020,10,25,6,106,Roald Dahl's The Witches,https://www.themoviedb.org/movie/531219
nan,nan,100,74,"Romance,Drama",Thabang Moleya,2021,11,10,2,99,Happiness Ever After,https://www.themoviedb.org/movie/892342
nan,nan,100,70,"Animation,Action,Adventure,Comedy,Family,Fantasy,Science Fiction",Peter Rida Michail,2021,7,27,1,80,Teen Titans Go! See Space Jam,https://www.themoviedb.org/movie/834404
nan,38.410729,100,70,"Animation,Action,Comedy,Fantasy,Adventure",Kohei Horikoshi,2021,10,29,4,101,My Hero Academia: World Heroes' Mission,https://www.themoviedb.org/movie/768744
nan,nan,100,72,"Animation,Music,Family",Scott Pleydell-Pearce,2021,8,20,4,62,"Barbie: Big City, Big Dreams",https://www.themoviedb.org/movie/850818
150.0,629.443428,100,63,"Fantasy,Action",Peter Berg,2008,7,1,1,92,Hancock,https://www.themoviedb.org/movie/8960
17.7,61.321941,100,65,"Action,Adventure,Thriller",Kim Byung-seo,2019,12,19,3,128,Ashfall,https://www.themoviedb.org/movie/581387
nan,nan,50,33,"Family,Animation",unknown,2021,10,1,4,nan,Catalina la Catrina: especial Día de Muertos,https://www.themoviedb.org/movie/880009
nan,nan,100,79,"Comedy,Fantasy",Jason Reitman,2021,11,19,4,124,Ghostbusters: Afterlife,https://www.themoviedb.org/movie/425909
nan,nan,93,63,Documentary,Ryan White,2021,8,12,3,104,Assassins,https://www.themoviedb.org/movie/653740
nan,nan,100,67,"Family,Animation,Science Fiction,Comedy",Ken Cunningham,2021,10,1,4,45,LEGO Star Wars Terrifying Tales,https://www.themoviedb.org/movie/857702
nan,27.9,100,63,"Action,Adventure,Crime",Stanley Tong,2020,9,30,2,107,Vanguard,https://www.themoviedb.org/movie/604822
45.0,153.0,100,74,"Family,Comedy,Adventure,Animation,Fantasy",Will Gluck,2021,6,18,4,93,Peter Rabbit 2: The Runaway,https://www.themoviedb.org/movie/522478
nan,nan,100,66,"Fantasy,Family",David Yarovesky,2021,9,15,2,103,Nightbooks,https://www.themoviedb.org/movie/739990
nan,nan,93,65,"Documentary,Animation,History",Mor Loushy,2021,11,2,1,34,Camp Confidential: America's Secret Nazis,https://www.themoviedb.org/movie/888910
nan,5.802422,100,59,"Action,Drama,Horror,Science Fiction,Thriller",Àlex Pastor,2009,9,4,4,84,Carriers,https://www.themoviedb.org/movie/25769
5.0,61.76819,100,68,"Action,Animation,Science Fiction",Tadayoshi Yamamuro,2015,8,4,1,93,Dragon Ball Z: Resurrection 'F',https://www.themoviedb.org/movie/303857
nan,nan,100,83,Comedy,Raúl Martínez,2021,7,15,3,86,El mesero,https://www.themoviedb.org/movie/678580
